City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Mount Gambier,AU,2021-04-11 18:38:15,-37.8333,140.7667,51.8,82,90,4.61
224,Yermakovskoye,RU,2021-04-11 18:38:15,53.2831,92.4003,26.04,94,24,2.39
225,Altus,US,2021-04-11 18:38:15,34.6381,-99.334,78.8,19,1,12.66
226,Praia Da Vitoria,PT,2021-04-11 18:35:16,38.7333,-27.0667,64.4,88,20,11.59
227,Pointe-Noire,CG,2021-04-11 18:38:16,-4.7761,11.8635,82.4,89,20,4.61
228,Sapouy,BF,2021-04-11 18:38:16,11.5544,-1.7736,93.18,14,6,7.0
229,Chukhloma,RU,2021-04-11 18:38:16,58.7525,42.6825,33.93,96,39,2.75
230,Asau,RO,2021-04-11 18:38:17,46.4333,26.4,45.0,36,0,1.9
231,Susehri,TR,2021-04-11 18:38:17,40.1644,38.0867,37.69,87,73,4.9
232,Baykit,RU,2021-04-11 18:38:18,61.67,96.37,29.62,96,100,3.02
233,Amberley,US,2021-04-11 18:38:18,39.2048,-84.428,53.01,87,90,12.66
234,Noyabrsk,RU,2021-04-11 18:38:18,63.1994,75.4507,34.41,98,100,14.74
235,Damietta,EG,2021-04-11 18:36:49,31.4165,31.8133,59.0,63,20,14.97
236,Bilma,NE,2021-04-11 18:38:19,18.6853,12.9164,89.28,6,33,10.74
237,Pravda,RU,2021-04-11 18:38:19,46.9396,142.009,44.6,81,75,11.18
238,Pontian Kecil,MY,2021-04-11 18:38:19,1.4801,103.3899,80.01,89,20,5.1
239,Quatre Cocos,MU,2021-04-11 18:38:20,-20.2078,57.7625,78.8,89,40,5.75
240,Kirovskiy,RU,2021-04-11 18:38:20,45.0917,133.5136,46.76,72,100,5.44
241,Santiago Del Estero,AR,2021-04-11 18:38:21,-27.7951,-64.2615,75.65,27,0,12.71
242,Kamenka,RU,2021-04-11 18:38:21,51.3223,42.7678,44.01,91,100,11.27
243,Hualmay,PE,2021-04-11 18:35:32,-11.0964,-77.6139,73.65,74,90,9.48
244,Morehead,US,2021-04-11 18:38:21,37.2711,-87.1764,68.0,32,1,11.5
245,Scottsbluff,US,2021-04-11 18:37:57,41.8666,-103.6672,50.0,29,20,29.93
246,Santa Adelia,BR,2021-04-11 18:38:23,-21.2428,-48.8042,87.93,22,0,3.67
247,Barkhan,PK,2021-04-11 18:38:23,29.8977,69.5256,74.01,13,94,4.56
248,Aranda De Duero,ES,2021-04-11 18:38:25,41.6704,-3.6892,41.29,82,43,13.42
249,Maniitsoq,GL,2021-04-11 18:36:59,65.4167,-52.9,35.15,79,20,2.66
250,Roma,US,2021-04-11 18:34:39,43.2128,-75.4557,71.6,49,1,13.8
251,Bathsheba,BB,2021-04-11 18:38:25,13.2167,-59.5167,78.8,69,20,14.97
